Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36.0,No,Travel_Rarely,809.0,Research & Development,16,3,Medical,1,14,1.0,Male,84,4,1,Laboratory Technician,2.0,Married,2426.0,16479,0.0,Y,No,13,3.0,3,80,1,6.0,5.0,3.0,5.0,4,0,3
29.0,No,Travel_Rarely,153.0,Research & Development,15,2,Life Sciences,1,15,4.0,Female,49,2,2,Laboratory Technician,3.0,Single,4193.0,12682,0.0,Y,Yes,12,3.0,4,80,0,10.0,3.0,3.0,9.0,5,0,8
31.0,No,Travel_Rarely,670.0,Research & Development,26,1,Life Sciences,1,16,1.0,Male,31,3,1,Research Scientist,3.0,Divorced,2911.0,15170,1.0,Y,No,17,3.0,4,80,1,5.0,1.0,2.0,5.0,2,4,3
34.0,No,Travel_Rarely,1346.0,Research & Development,19,2,Medical,1,18,2.0,Male,93,3,1,Laboratory Technician,4.0,Divorced,2661.0,8758,0.0,Y,No,11,3.0,3,80,1,3.0,2.0,3.0,2.0,2,1,2
28.0,Yes,Travel_Rarely,103.0,Research & Development,24,3,Life Sciences,1,19,3.0,Male,50,2,1,Laboratory Technician,3.0,Single,2028.0,12947,5.0,Y,Yes,14,3.0,2,80,0,6.0,4.0,3.0,4.0,2,0,3
29.0,No,Travel_Rarely,1389.0,Research & Development,21,4,Life Sciences,1,20,2.0,Female,51,4,3,Manufacturing Director,1.0,Divorced,1338.72,10195,1.0,Y,No,11,3.0,3,80,1,10.0,1.0,3.0,10.0,9,8,8
32.0,No,Travel_Rarely,334.0,Research & Development,5,2,Life Sciences,1,21,1.0,Male,80,4,1,Research Scientist,2.0,Divorced,3298.0,15053,0.0,Y,Yes,12,3.0,4,80,2,7.0,5.0,2.0,6.0,2,0,5
22.0,No,Non-Travel,1123.0,Research & Development,16,2,Medical,1,22,4.0,Male,96,4,1,Laboratory Technician,4.0,Divorced,2935.0,7324,1.0,Y,Yes,13,3.0,2,80,2,1.0,2.0,2.0,1.0,0,0,0
53.0,No,Travel_Rarely,1219.0,Sales,2,4,Life Sciences,1,23,1.0,Female,78,2,4,Manager,4.0,Married,15427.0,22021,2.0,Y,No,16,3.0,3,80,0,28.5,3.0,3.0,25.0,8,3,7
38.0,No,Travel_Rarely,371.0,Research & Development,2,3,Life Sciences,1,24,4.0,Male,45,3,1,Research Scientist,4.0,Single,3944.0,4306,5.0,Y,Yes,11,3.0,3,80,0,6.0,3.0,3.0,3.0,2,1,2
24.0,No,Non-Travel,673.0,Research & Development,11,2,Other,1,26,1.0,Female,96,4,2,Manufacturing Director,3.0,Divorced,4907.5,8232,0.0,Y,No,18,3.0,4,80,1,5.0,5.0,2.0,4.0,2,1,3
36.0,Yes,Travel_Rarely,1218.0,Sales,9,4,Life Sciences,1,27,3.0,Male,82,2,1,Sales Representative,1.0,Single,3407.0,6986,7.0,Y,No,23,4.0,2,80,0,10.0,4.0,3.0,5.0,3,0,3
34.0,No,Travel_Rarely,419.0,Research & Development,7,4,Life Sciences,1,28,1.0,Female,53,3,3,Research Director,2.0,Single,11994.0,21293,0.0,Y,No,11,3.0,3,80,0,13.0,4.0,3.0,12.0,6,2,11
21.0,No,Travel_Rarely,391.0,Research & Development,15,2,Life Sciences,1,30,3.0,Male,96,3,1,Research Scientist,4.0,Single,1338.72,19281,1.0,Y,No,14,3.0,4,80,0,1.0,6.0,3.0,0.0,0,0,0
34.0,Yes,Travel_Rarely,699.0,Research & Development,6,1,Medical,1,31,2.0,Male,83,3,1,Research Scientist,1.0,Single,2960.0,17102,2.0,Y,No,11,3.0,3,80,0,8.0,2.0,3.0,4.0,2,1,3
53.0,No,Travel_Rarely,1282.0,Research & Development,5,3,Other,1,32,3.0,Female,58,3,5,Manager,3.0,Divorced,16536.0,10735,4.0,Y,No,11,3.0,4,80,1,26.0,3.0,2.0,14.0,13,4,8
32.0,Yes,Travel_Frequently,1125.0,Research & Development,16,1,Life Sciences,1,33,2.0,Female,72,1,1,Research Scientist,1.0,Single,3919.0,4681,1.0,Y,Yes,22,4.0,2,80,0,10.0,5.0,3.0,10.0,2,6,7
42.0,No,Travel_Rarely,691.0,Sales,8,4,Marketing,1,35,3.0,Male,48,3,2,Sales Executive,2.0,Married,6825.0,21173,0.0,Y,No,11,3.0,4,80,1,10.0,2.0,3.0,9.0,7,4,2
44.0,No,Travel_Rarely,477.0,Research & Development,7,4,Medical,1,36,1.0,Female,42,2,3,Healthcare Representative,4.0,Married,10248.0,2094,3.0,Y,No,14,3.0,4,80,1,24.0,4.0,3.0,22.0,6,5,17
46.0,No,Travel_Rarely,705.0,Sales,2,4,Marketing,1,38,2.0,Female,83,3,5,Manager,1.0,Single,16536.0,22822,3.0,Y,No,12,3.0,4,80,0,22.0,2.0,2.0,2.0,2,2,1
33.0,No,Travel_Rarely,924.0,Research & Development,2,3,Medical,1,39,3.0,Male,78,3,1,Laboratory Technician,3.0,Single,2496.0,6670,4.0,Y,No,11,3.0,4,80,0,7.0,3.0,3.0,1.0,1,0,0
44.0,No,Travel_Rarely,1459.0,Research & Development,10,4,Other,1,40,4.0,Male,41,3,2,Healthcare Representative,4.0,Married,6465.0,19121,2.0,Y,Yes,13,3.0,4,80,0,9.0,5.0,4.0,4.0,2,1,3
30.0,No,Travel_Rarely,125.0,Research & Development,9,2,Medical,1,41,4.0,Male,83,2,1,Laboratory Technician,3.0,Single,2206.0,16117,1.0,Y,No,13,3.0,1,80,0,10.0,5.0,3.0,10.0,0,1,8
39.0,Yes,Travel_Rarely,895.0,Sales,5,3,Technical Degree,1,42,4.0,Male,56,3,2,Sales Representative,4.0,Married,2086.0,3335,3.0,Y,No,14,3.0,3,80,1,19.0,6.0,4.0,1.0,0,0,0
24.0,Yes,Travel_Rarely,813.0,Research & Development,1,3,Medical,1,45,2.0,Male,61,3,1,Research Scientist,4.0,Married,2293.0,3020,2.0,Y,Yes,16,3.0,1,80,1,6.0,2.0,2.0,2.0,0,2,0
43.0,No,Travel_Rarely,1273.0,Research & Development,2,2,Medical,1,46,4.0,Female,72,4,1,Research Scientist,3.0,Divorced,2645.0,21923,1.0,Y,No,12,3.0,4,80,2,28.5,3.0,2.0,5.0,3,1,4
50.0,Yes,Travel_Rarely,869.0,Sales,3,2,Marketing,1,47,1.0,Male,86,2,1,Sales Representative,3.0,Married,2683.0,3810,1.0,Y,Yes,14,3.0,3,80,0,3.0,2.0,3.0,3.0,2,0,2
35.0,No,Travel_Rarely,890.0,Sales,2,3,Marketing,1,49,4.0,Female,97,3,1,Sales Representative,4.0,Married,2014.0,9687,1.0,Y,No,13,3.0,1,80,0,2.0,3.0,3.0,2.0,2,2,2
36.0,No,Travel_Rarely,852.0,Research & Development,5,4,Life Sciences,1,51,2.0,Female,82,2,1,Research Scientist,1.0,Married,3419.0,13072,9.0,Y,Yes,14,3.0,4,80,1,6.0,3.0,4.0,1.0,1,0,0
33.0,No,Travel_Frequently,1141.0,Sales,1,3,Life Sciences,1,52,3.0,Female,42,4,2,Sales Executive,1.0,Married,5376.0,3193,2.0,Y,No,19,3.0,1,80,2,10.0,3.0,3.0,5.0,3,1,3
35.0,No,Travel_Rarely,464.0,Research & Development,4,2,Other,1,53,3.0,Male,75,3,1,Laboratory Technician,4.0,Divorced,1951.0,10910,1.0,Y,No,12,3.0,3,80,1,1.0,3.0,3.0,1.0,0,0,0
27.0,No,Travel_Rarely,1240.0,Research & Development,2,4,Life Sciences,1,54,4.0,Female,33,3,1,Laboratory Technician,1.0,Divorced,2341.0,19715,1.0,Y,No,13,3.0,4,80,1,1.0,6.0,3.0,1.0,0,0,0
26.0,Yes,Travel_Rarely,1357.0,Research & Development,25,3,Life Sciences,1,55,1.0,Male,48,1,1,Laboratory Technician,3.0,Single,2293.0,10558,1.0,Y,No,12,3.0,3,80,0,1.0,2.0,2.0,1.0,0,0,1
27.0,No,Travel_Frequently,994.0,Sales,8,3,Life Sciences,1,56,4.0,Male,37,3,3,Sales Executive,3.0,Single,8726.0,2975,1.0,Y,No,15,3.0,4,80,0,9.0,0.0,3.0,9.0,8,1,7
30.0,No,Travel_Frequently,721.0,Research & Development,1,2,Medical,1,57,3.0,Female,58,3,2,Laboratory Technician,4.0,Single,4011.0,10781,1.0,Y,No,23,4.0,4,80,0,12.0,2.0,3.0,12.0,8,3,7
41.0,Yes,Travel_Rarely,1360.0,Research & Development,12,3,Technical Degree,1,58,2.0,Female,49,3,5,Research Director,3.0,Married,16536.0,16280,1.0,Y,No,12,3.0,4,80,0,23.0,0.0,3.0,31.0,15,15,8
34.0,No,Non-Travel,1065.0,Sales,23,4,Marketing,1,60,2.0,Male,72,3,2,Sales Executive,3.0,Single,4568.0,10034,0.0,Y,No,20,4.0,3,80,0,10.0,2.0,3.0,9.0,5,8,7
37.0,No,Travel_Rarely,408.0,Research & Development,19,2,Life Sciences,1,61,2.0,Male,73,3,1,Research Scientist,2.0,Married,3022.0,10227,4.0,Y,No,21,4.0,1,80,0,8.0,1.0,3.0,1.0,0,0,0
46.0,No,Travel_Frequently,1211.0,Sales,5,4,Marketing,1,62,1.0,Male,98,3,2,Sales Executive,4.0,Single,5772.0,20445,4.0,Y,Yes,21,4.0,3,80,0,14.0,4.0,3.0,9.0,6,0,8
35.0,No,Travel_Rarely,1229.0,Research & Development,8,1,Life Sciences,1,63,4.0,Male,36,4,1,Laboratory Technician,4.0,Married,2269.0,4892,1.0,Y,No,19,3.0,4,80,0,1.0,2.0,3.0,1.0,0,0,1
48.0,Yes,Travel_Rarely,626.0,Research & Development,1,2,Life Sciences,1,64,1.0,Male,98,2,3,Laboratory Technician,3.0,Single,5381.0,19294,9.0,Y,Yes,13,3.0,4,80,0,23.0,2.0,3.0,1.0,0,0,0
28.0,Yes,Travel_Rarely,1434.0,Research & Development,5,4,Technical Degree,1,65,3.0,Male,50,3,1,Laboratory Technician,3.0,Single,3441.0,11179,1.0,Y,Yes,13,3.0,3,80,0,2.0,3.0,2.0,2.0,2,2,2
44.0,No,Travel_Rarely,1488.0,Sales,1,5,Marketing,1,68,2.0,Female,75,3,2,Sales Executive,1.0,Divorced,5454.0,4009,5.0,Y,Yes,21,4.0,3,80,1,9.0,2.0,2.0,4.0,3,1,3
35.0,No,Non-Travel,1097.0,Research & Development,11,2,Medical,1,70,3.0,Male,79,2,3,Healthcare Representative,1.0,Married,9884.0,8302,2.0,Y,Yes,13,3.0,3,80,1,10.0,3.0,3.0,4.0,0,2,3
26.0,No,Travel_Rarely,1443.0,Sales,23,3,Marketing,1,72,3.0,Female,47,2,2,Sales Executive,4.0,Married,4157.0,21436,7.0,Y,Yes,19,3.0,3,80,1,5.0,2.0,2.0,2.0,2,0,0
33.0,No,Travel_Frequently,515.0,Research & Development,1,2,Life Sciences,1,73,1.0,Female,98,3,3,Research Director,4.0,Single,16536.0,15146,1.0,Y,Yes,12,3.0,3,80,0,15.0,1.0,3.0,15.0,14,8,12
35.0,No,Travel_Frequently,853.0,Sales,18,5,Life Sciences,1,74,2.0,Male,71,3,3,Sales Executive,1.0,Married,9069.0,11031,1.0,Y,No,22,4.0,4,80,1,9.0,3.0,2.0,9.0,8,1,8
35.0,No,Travel_Rarely,1142.0,Research & Development,23,4,Medical,1,75,3.0,Female,30,3,1,Laboratory Technician,1.0,Married,4014.0,16002,3.0,Y,Yes,15,3.0,3,80,1,4.0,3.0,3.0,2.0,2,2,2
31.0,No,Travel_Rarely,655.0,Research & Development,7,4,Life Sciences,1,76,4.0,Male,48,3,2,Laboratory Technician,4.0,Divorced,5915.0,9528,3.0,Y,No,22,4.0,4,80,1,10.0,3.0,2.0,7.0,7,1,7
37.0,No,Travel_Rarely,1115.0,Research & Development,1,4,Life Sciences,1,77,1.0,Male,51,2,2,Manufacturing Director,3.0,Divorced,5993.0,2689,1.0,Y,No,18,3.0,3,80,1,7.0,2.0,4.0,7.0,5,0,7
32.0,No,Travel_Rarely,427.0,Research & Development,1,3,Life Sciences,1,78,1.0,Male,33,3,2,Manufacturing Director,4.0,Married,6162.0,10877,1.0,Y,Yes,22,4.0,2,80,1,9.0,3.0,3.0,9.0,8,7,8
38.0,No,Travel_Frequently,653.0,Research & Development,29,5,Life Sciences,1,79,4.0,Female,50,3,2,Laboratory Technician,4.0,Single,2406.0,5456,1.0,Y,No,11,3.0,4,80,0,10.0,2.0,3.0,10.0,3,9,9
50.0,No,Travel_Rarely,989.0,Research & Development,7,2,Medical,1,80,2.0,Female,43,2,5,Research Director,3.0,Divorced,16536.0,16701,5.0,Y,Yes,12,3.0,4,80,1,28.5,2.0,2.0,27.0,3,13,8
59.0,No,Travel_Rarely,1435.0,Sales,25,3,Life Sciences,1,81,1.0,Female,99,3,3,Sales Executive,1.0,Single,7637.0,2354,7.0,Y,No,11,3.0,4,80,0,28.0,3.0,2.0,21.0,16,7,9
36.0,No,Travel_Rarely,1223.0,Research & Development,8,3,Technical Degree,1,83,3.0,Female,59,3,3,Healthcare Representative,3.0,Divorced,10096.0,8202,1.0,Y,No,13,3.0,2,80,3,17.0,2.0,3.0,17.0,14,12,8
55.0,No,Travel_Rarely,836.0, Sales,8,3,Medical,1,84,4.0,Female,33,3,4,Manager,3.0,Divorced,14756.0,19730,2.0,Y,Yes,14,3.0,3,80,3,21.0,2.0,3.0,5.0,0,0,2
36.0,No,Travel_Frequently,1195.0,Research & Development ,11,3,Life Sciences,1,85,2.0,Male,95,2,2,Manufacturing Director,2.0,Single,6499.0,22656,1.0,Y,No,13,3.0,3,80,0,6.0,3.0,3.0,6.0,5,0,3
45.0,No,Travel_Rarely,1339.0,  Human Resources,7,3,Life Sciences,1,86,2.0,Male,59,3,3,Research Scientist,1.0,Divorced,9724.0,18787,2.0,Y,No,17,3.0,3,80,1,25.0,2.0,3.0,1.0,0,0,0
35.0,No,Travel_Frequently,664.0,Research & Development,1,3,Medical,1,88,2.0,Male,79,3,1,Research Scientist,1.0,Married,2194.0,5868,4.0,Y,No,13,3.0,4,80,1,5.0,2.0,2.0,3.0,2,1,2
36.0,Yes,Travel_Rarely,318.0,Research & Development,9,3,Medical,1,90,4.0,Male,79,2,1,Research Scientist,3.0,Married,3388.0,21777,0.0,Y,Yes,17,3.0,1,80,1,2.0,0.0,2.0,1.0,0,0,0
59.0,No,Travel_Frequently,1225.0,Sales,1,1,Life Sciences,1,91,1.0,Female,57,2,2,Sales Executive,3.0,Single,5473.0,24668,7.0,Y,No,11,3.0,4,80,0,10.0,2.0,2.0,4.0,3,1,3
29.0,No,Travel_Rarely,1328.0,Research & Development,2,3,Life Sciences,1,94,3.0,Male,76,3,1,Research Scientist,2.0,Married,2703.0,4956,0.0,Y,No,23,4.0,4,80,1,6.0,3.0,3.0,5.0,4,0,4
31.0,No,Travel_Rarely,1082.0,Research & Development,1,4,Medical,1,95,3.0,Male,87,3,1,Research Scientist,2.0,Single,2501.0,18775,1.0,Y,No,17,3.0,2,80,0,1.0,4.0,3.0,1.0,1,1,0
32.0,No,Travel_Rarely,548.0,Research & Development,1,3,Life Sciences,1,96,2.0,Male,66,3,2,Research Scientist,2.0,Married,6220.0,7346,1.0,Y,No,17,3.0,2,80,2,10.0,3.0,3.0,10.0,4,0,9
36.0,No,Travel_Rarely,132.0,Research & Development,6,3,Life Sciences,1,97,2.0,Female,55,4,1,Laboratory Technician,4.0,Married,3038.0,22002,3.0,Y,No,12,3.0,2,80,0,5.0,3.0,3.0,1.0,0,0,0
31.0,No,Travel_Rarely,746.0,Research & Development,8,4,Life Sciences,1,98,3.0,Female,61,3,2, Sales Executive,4.0,Single,4424.0,20682,1.0,Y,No,23,4.0,4,80,0,11.0,2.0,3.0,11.0,7,1,8
35.0,No,Travel_Rarely,776.0,Sales,1,4,Marketing,1,100,3.0,Male,32,2,2,Manager ,1.0,Single,4312.0,23016,0.0,Y,No,14,3.0,2,80,0,16.0,2.0,3.0,15.0,13,2,8
45.0,No,Travel_Rarely,193.0,Research & Development,6,4,Other,1,101,4.0,Male,52,3,3,Research Director,1.0,Married,13245.0,15067,4.0,Y,Yes,14,3.0,2,80,0,17.0,3.0,4.0,0.0,0,0,0
37.0,No,Travel_Rarely,397.0,Research & Development,7,4,Medical,1,102,1.0,Male,30,3,3,Research Director,3.0,Single,13664.0,25258,4.0,Y,No,13,3.0,1,80,0,16.0,3.0,4.0,5.0,2,0,2
46.0,No,Travel_Rarely,945.0,Human Resources,5,2,Medical,1,103,2.0,Male,80,3,2,Human Resources,2.0,Divorced,5021.0,10425,8.0,Y,Yes,22,4.0,4,80,1,16.0,2.0,3.0,4.0,2,0,2
30.0,No,Travel_Rarely,852.0,Research & Development,1,1,Life Sciences,1,104,4.0,Male,55,2,2,Laboratory Technician,4.0,Married,5126.0,15998,1.0,Y,Yes,12,3.0,3,80,2,10.0,1.0,2.0,5.0,8,3,0
35.0,No,Travel_Rarely,1214.0,Research & Development,1,3,Medical,1,105,2.0,Male,30,2,1,Research Scientist,3.0,Single,2859.0,26278,1.0,Y,No,18,3.0,1,80,0,6.0,3.0,3.0,6.0,4,0,4
55.0,No,Travel_Rarely,111.0,Sales,1,2,Life Sciences,1,106,1.0,Male,70,3,3,Sales Executive,4.0,Married,10239.0,18092,3.0,Y,No,14,3.0,4,80,1,24.0,4.0,3.0,1.0,0,1,0
38.0,No,Non-Travel,573.0,Research & Development,6,3,Medical,1,107,2.0,Female,79,1,2,Research Scientist,4.0,Divorced,5329.0,15717,7.0,Y,Yes,12,3.0,4,80,3,17.0,3.0,3.0,13.0,11,1,9
34.0,No,Travel_Rarely,1153.0,Research & Development,1,2,Medical,1,110,1.0,Male,94,3,2,Manufacturing Director,2.0,Married,4325.0,17736,1.0,Y,No,15,3.0,3,80,0,5.0,2.0,3.0,5.0,2,1,3
56.0,No,Travel_Rarely,1400.0,Research & Development,7,3,Life Sciences,1,112,4.0, Male,49,1,3,Manufacturing Director,4.0,Single,7260.0,21698,4.0,Y,No,11,3.0,1,80,0,28.5,3.0,2.0,6.0,4,0,2
23.0,No,Travel_Rarely,541.0,Sales,2,1,Technical Degree,1,113,3.0,Female ,62,3,1,Sales Representative,1.0,Divorced,2322.0,9518,3.0,Y,No,13,3.0,3,80,1,3.0,3.0,3.0,0.0,0,0,0
51.0,No,Travel_Rarely,432.0,Research & Development,9,4,Life Sciences,1,116,4.0,Male,96,3,1,Laboratory Technician,4.0,Married,2075.0,18725,3.0,Y,No,23,4.0,2,80,2,10.0,4.0,3.0,4.0,2,0,3
30.0,No,Travel_Rarely,288.0,Research & Development,2,3,Life Sciences,1,117,3.0,Male,99,2,2,Healthcare Representative,4.0,Married,4152.0,15830,1.0,Y,No,19,3.0,1,80,3,11.0,3.0,3.0,11.0,10,10,8
46.0,Yes,Travel_Rarely,669.0,Sales,9,2,Medical,1,118,3.0,Male,64,2,3,Sales Executive,4.0,Single,9619.0,13596,1.0,Y,No,16,3.0,4,80,0,9.0,3.0,3.0,9.0,8,4,7
40.0,No,Travel_Frequently,530.0,Research & Development,1,4,Life Sciences,1,119,3.0,Male,78,2,4,Healthcare Representative,2.0,Married,13503.0,14115,1.0,Y,No,22,4.0,4,80,1,22.0,3.0,2.0,22.0,3,11,11
51.0,No,Travel_Rarely,632.0,Sales,21,4,Marketing,1,120,3.0,Male,71,3,2,Sales Executive,4.0,Single,5441.0,8423,0.0,Y,Yes,22,4.0,4,80,0,11.0,2.0,1.0,10.0,7,1,0
30.0,No,Travel_Rarely,1334.0,Sales,4,2,Medical,1,121,3.0,Female,63,2,2,Sales Executive,2.0,Divorced,5209.0,19760,1.0,Y,Yes,12,3.0,2,80,3,11.0,4.0,2.0,11.0,8,2,7
46.0,No,Travel_Frequently,638.0,Research & Development,1,3,Medical,1,124,3.0,Male,40,2,3,Healthcare Representative,1.0,Married,10673.0,3142,2.0,Y,Yes,13,3.0,3,80,1,21.0,5.0,2.0,10.0,9,9,5
32.0,No,Travel_Rarely,1093.0,Sales,6,4,Medical,1,125,2.0,Male,87,3,2,Sales Executive,3.0,Single,5010.0,24301,1.0,Y,No,16,3.0,1,80,0,12.0,0.0,3.0,11.0,8,5,7
54.0,No,Travel_Rarely,1217.0,Research & Development,2,4,Technical Degree,1,126,1.0,Female,60,3,3,Research Director,3.0,Married,13549.0,24001,9.0,Y,No,12,3.0,1,80,1,16.0,5.0,1.0,4.0,3,0,3
24.0,No,Travel_Rarely,1353.0,Sales,3,2,Other,1,128,1.0,Female,33,3,2,Sales Executive,3.0,Married,4999.0,17519,0.0,Y,No,21,4.0,1,80,1,4.0,2.0,2.0,3.0,2,0,2
28.0,No,Non-Travel,120.0,Sales,4,3,Medical,1,129,2.0,Male,43,3,2,Sales Executive,3.0,Married,4221.0,8863,1.0,Y,No,15,3.0,2,80,0,5.0,3.0,4.0,5.0,4,0,4
58.0,No,Travel_Rarely,682.0,Sales,10,4,Medical,1,131,4.0,Male,37,3,4,Sales Executive,3.0,Single,13872.0,24409,0.0,Y,No,13,3.0,3,80,0,28.5,1.0,2.0,31.0,10,1,8
44.0,No,Non-Travel,489.0,Research & Development,23,3,Medical,1,132,2.0,Male,67,3,2,Laboratory Technician,2.0,Married,2042.0,25043,4.0,Y,No,12,3.0,3,80,1,17.0,3.0,4.0,3.0,2,1,2
37.0,Yes,Travel_Rarely,807.0,Human Resources,6,4,Human Resources,1,133,3.0,Male,63,3,1,Sales Executive,1.0,Divorced,2073.0,23648,4.0,Y,Yes,22,4.0,4,80,0,7.0,3.0,3.0,3.0,2,0,2
32.0,No,Travel_Rarely,827.0,Research & Development,1,1,Life Sciences,1,134,4.0,Male,71,3,1,Research Scientist,1.0,Single,2956.0,15178,1.0,Y,No,13,3.0,4,80,0,1.0,2.0,3.0,1.0,0,0,0
20.0,Yes,Travel_Frequently,871.0,Research & Development,6,3,Life Sciences,1,137,4.0,Female,66,2,1,Laboratory Technician,4.0,Single,2926.0,19783,1.0,Y,Yes,18,3.0,2,80,0,1.0,5.0,3.0,1.0,0,1,0
34.0,No,Travel_Rarely,665.0,Research & Development,6,4,Other,1,138,1.0,Female,41,3,2,Research Scientist,3.0,Single,4809.0,12482,1.0,Y,No,14,3.0,3,80,0,16.0,3.0,3.0,16.0,13,2,10
37.0,No,Non-Travel,1040.0,Research & Development,2,2,Life Sciences,1,139,3.0,Male,100,2,2,Healthcare Representative,4.0,Divorced,5163.0,15850,5.0,Y,No,14,3.0,4,80,1,17.0,2.0,4.0,1.0,0,0,0
59.0,No,Non-Travel,1420.0,Human Resources,2,4,Human Resources,1,140,3.0,Female,32,2,5,Manager,4.0,Married,16536.0,21922,9.0,Y,No,21,4.0,4,80,1,28.5,3.0,3.0,3.0,2,2,2
50.0,No,Travel_Frequently,1115.0,Research & Development,1,3,Life Sciences,1,141,1.0,Female,73,3,5,Research Director,2.0,Married,16536.0,9755,3.0,Y,Yes,19,3.0,1,80,0,28.0,1.0,2.0,8.0,3,0,7
25.0,Yes,Travel_Rarely,240.0,Sales,5,3,Marketing,1,142,3.0,Male,46,2,2,Sales Executive,3.0,Single,5744.0,26959,1.0,Y,Yes,11,3.0,4,80,0,6.0,1.0,3.0,6.0,4,0,3
25.0,No,Travel_Rarely,1280.0,Research & Development,7,1,Medical,1,143,4.0,Male,64,2,1,Research Scientist,4.0,Married,2889.0,26897,1.0,Y,No,11,3.0,3,80,2,2.0,2.0,3.0,2.0,2,2,1
22.0,No,Travel_Rarely,534.0,Research & Development,15,3,Medical,1,144,2.0,Female,59,3,1,Laboratory Technician,4.0,Single,2871.0,23785,1.0,Y,No,15,3.0,3,80,0,1.0,5.0,3.0,0.0,0,0,0
51.0,No,Travel_Frequently,1456.0,Research & Development,1,4,Medical,1,145,1.0,Female,30,2,3,Healthcare Representative,1.0,Single,7484.0,25796,3.0,Y,No,20,4.0,3,80,0,23.0,1.0,2.0,13.0,12,12,8
34.0,Yes,Travel_Frequently,658.0,Research & Development,7,3,Life Sciences,1,147,1.0,Male,66,1,2,Laboratory Technician,3.0,Single,6074.0,22887,1.0,Y,Yes,24,4.0,4,80,0,9.0,3.0,3.0,9.0,7,0,6
54.0,No,Non-Travel,142.0,Human Resources,26,3,Human Resources,1,148,4.0,Female,30,4,4,Manager,4.0,Single,16536.0,13871,2.0,Y,Yes,12,3.0,3,80,0,23.0,3.0,3.0,5.0,3,4,4
